,True_Age_Label,Model1_Predictions,Model2_Predictions,Model3_Predictions,Model4_Predictions
0,28.749999999999996,28.11233103275299,32.46609568595886,20.965029299259186,31.013742089271545
1,78.75,78.68444323539734,71.88325524330139,63.63524794578552,52.7258574962616
2,53.75,44.10061836242676,38.76201808452606,52.925777435302734,47.786566615104675
3,6.25,4.017597064375877,2.9476869851350784,1.8327992409467697,5.121555924415588
4,28.749999999999996,30.10045289993286,30.453702807426453,26.893267035484314,37.75191903114319
5,25.0,27.951666712760925,26.31726861000061,17.7310511469841,31.86327815055847
6,42.5,40.568387508392334,42.216917872428894,43.89056861400604,44.30013597011566
7,62.5,44.39949095249176,60.162270069122314,49.350908398628235,59.94318723678589
8,72.5,78.0271589756012,60.31864285469055,76.78953409194946,72.15273380279541
9,52.5,57.76429772377014,50.997257232666016,58.84664058685303,43.67201626300812
10,52.5,57.76429772377014,50.997257232666016,58.84664058685303,43.67201626300812
11,18.75,18.152962625026703,17.34260469675064,18.3169424533844,26.856335997581482
12,30.0,30.537185072898865,39.05867338180542,25.986871123313904,31.39078915119171
13,42.5,37.33004033565521,41.84524714946747,22.611530125141144,35.5891227722168
14,41.25,39.54666256904602,42.79671907424927,44.69124674797058,42.64654517173767
15,62.5,57.689476013183594,61.4926278591156,64.46983814239502,68.05083751678467
16,43.75,43.6502069234848,41.003432869911194,43.734657764434814,55.83047270774841
17,58.75,58.779919147491455,38.89852166175842,63.95485997200012,52.888649702072144
18,81.25,79.2019248008728,82.23190307617188,87.46684789657593,71.4673399925232
19,52.5,51.480865478515625,50.45521259307861,57.97138810157776,63.37568759918213
20,43.75,41.60252809524536,40.82528352737427,36.20721697807312,36.35430037975311
21,67.5,61.67518496513367,65.33576846122742,76.36467814445496,69.21046376228333
22,37.5,34.38847064971924,34.94845628738403,37.66637742519379,37.13978826999664
23,48.75,50.78421235084534,50.25053024291992,45.12242376804352,63.930463790893555
24,25.0,25.271090865135193,31.58135712146759,30.583518743515015,35.47915518283844
25,90.0,93.4466302394867,85.99041104316711,49.699342250823975,69.45858597755432
26,90.0,89.42729830741882,88.37502002716064,82.27408528327942,81.42014145851135
27,56.25,69.70680952072144,57.01858997344971,49.43585395812988,71.02490663528442
28,97.5,72.73165583610535,94.66407895088196,93.14197897911072,86.30701899528503
29,30.0,38.34395706653595,35.911571979522705,27.608665823936462,33.770203590393066
30,68.75,71.03570103645325,67.89180040359497,76.34159326553345,71.464604139328
31,50.0,42.40553081035614,35.03560125827789,49.36605095863342,42.419007420539856
32,43.75,42.61614978313446,45.421767234802246,41.97457134723663,46.060094237327576
33,56.25,63.82383704185486,55.829423666000366,66.5515661239624,62.29076385498047
34,62.5,61.29854917526245,61.89286708831787,37.11909055709839,53.38181257247925
35,75.0,75.96274018287659,60.787761211395264,86.45426630973816,70.46449780464172
36,28.749999999999996,30.09902536869049,29.742804169654846,35.21811366081238,42.088574171066284
37,66.25,66.89346432685852,58.33457708358765,60.59957146644592,69.75561380386353
38,37.5,38.509076833724976,37.11140155792236,38.216859102249146,41.08423292636871
39,8.75,9.165967255830765,9.848598390817642,4.585108533501625,4.941780865192413
40,87.5,81.70994520187378,83.1743836402893,85.62148809432983,92.60576367378235
41,40.0,35.758647322654724,37.600091099739075,36.9545578956604,39.33257758617401
42,43.75,43.60977113246918,42.30768084526062,40.43283760547638,44.76245641708374
43,87.5,57.90831446647644,47.27117121219635,83.59110355377197,61.027586460113525
44,56.25,49.89212155342102,54.90142107009888,53.06423306465149,65.3041124343872
45,62.5,70.98947763442993,55.15136122703552,64.76397514343262,68.40589046478271
46,97.5,97.53702282905579,92.18007326126099,84.35823321342468,95.24084329605103
47,11.25,14.896085858345032,10.400445014238358,11.878620833158493,26.9389808177948
48,60.0,60.54584980010986,57.427215576171875,51.47509574890137,59.60197448730469
49,26.25,31.074365973472595,31.821340322494507,28.199130296707153,33.221158385276794
50,6.25,38.21617662906647,80.88685870170593,31.96859359741211,64.98692035675049
51,43.75,41.20311439037323,44.70987617969513,41.48736000061035,41.4175420999527
52,40.0,41.3831353187561,40.89139401912689,40.378108620643616,61.03397011756897
53,56.25,55.14339804649353,59.747934341430664,64.180988073349,47.410473227500916
54,26.25,29.782268404960632,26.68045461177826,25.68591833114624,29.998931288719177
55,46.25,48.97857308387756,44.86666023731232,41.98278188705444,49.512267112731934
56,28.749999999999996,38.00995945930481,32.331305742263794,26.69239342212677,39.40229415893555
57,58.75,60.86793541908264,58.726125955581665,61.80018186569214,35.24865806102753
58,11.25,22.243481874465942,8.6263507604599,14.25326019525528,10.020783543586731
59,62.5,68.3908998966217,66.39509201049805,66.42822623252869,69.7795569896698
60,25.0,27.995488047599792,24.41454976797104,29.692870378494263,31.93182647228241
61,43.75,43.975913524627686,29.289913177490234,44.61705684661865,34.30173397064209
62,46.25,50.41032433509827,43.566519021987915,25.315245985984802,56.68804049491882
63,62.5,63.842231035232544,60.878342390060425,61.407166719436646,58.338481187820435
64,62.5,63.842231035232544,60.878342390060425,61.407166719436646,58.338481187820435
65,48.75,46.739962697029114,47.64758050441742,48.589128255844116,45.17298936843872
66,30.0,28.392213582992554,45.235475897789,37.43853271007538,32.91308879852295
67,47.5,48.24186563491821,47.7029025554657,51.97869539260864,43.64897608757019
68,47.5,48.24186563491821,47.7029025554657,51.97869539260864,43.64897608757019
69,47.5,48.24186563491821,47.7029025554657,51.97869539260864,43.64897608757019
70,43.75,40.258991718292236,44.88323628902435,46.878647804260254,51.13764405250549
71,10.0,38.874879479408264,5.608682706952095,12.531782686710358,19.417375326156616
72,50.0,44.90196704864502,50.55394768714905,39.8937851190567,45.44863402843475
73,48.75,44.59719359874725,49.385422468185425,44.741448760032654,43.76729726791382
74,62.5,63.32905888557434,57.866376638412476,58.600664138793945,55.13730049133301
75,67.5,70.50181031227112,67.64897108078003,43.99493634700775,65.78136682510376
76,15.0,14.496193826198578,16.802790760993958,10.898962616920471,16.55382066965103
77,53.75,71.98445796966553,51.29286050796509,54.84493374824524,45.303723216056824
78,27.500000000000004,30.067497491836548,27.32459008693695,30.004149675369263,30.29416799545288
79,67.5,65.67134261131287,65.93228578567505,64.0770971775055,66.95961952209473
80,65.0,59.68195199966431,58.336204290390015,68.27715635299683,61.80539131164551
81,52.5,54.18239235877991,48.053935170173645,52.173829078674316,46.880042552948
82,70.0,63.99468183517456,74.81642961502075,67.90719032287598,36.140239238739014
83,63.74999999999999,55.82610368728638,63.628363609313965,58.58145356178284,53.923386335372925
84,63.74999999999999,55.82610368728638,63.628363609313965,58.58145356178284,53.923386335372925
85,36.25,36.37067973613739,36.614638566970825,47.56384491920471,40.02717435359955
86,75.0,71.56806588172913,72.2141444683075,61.838531494140625,82.08441138267517
87,88.75,88.99121880531311,87.46514320373535,91.3574755191803,91.18545055389404
88,30.0,32.666200399398804,30.766505002975464,33.555054664611816,31.65278434753418
89,10.0,22.79529869556427,38.7077271938324,10.626764595508575,12.848101556301117
90,45.0,47.59669005870819,43.27557384967804,42.79714226722717,44.786661863327026
91,81.25,79.17236089706421,78.52683067321777,83.85267853736877,75.50814151763916
92,56.25,53.84146571159363,56.24854564666748,55.87601065635681,50.048309564590454
